City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Bethel,US,2021-07-30 20:57:41,41.3712,-73.414,81.91,59,4,1.99
207,Berlevag,NO,2021-07-30 20:58:01,70.8578,29.0864,48.15,81,75,4.61
208,Saint-Joseph,RE,2021-07-30 21:06:34,-21.3667,55.6167,66.58,78,32,16.15
209,Tomatlan,MX,2021-07-30 21:04:24,19.9333,-105.25,89.08,62,81,8.68
210,Tuatapere,NZ,2021-07-30 20:58:04,-46.1333,167.6833,48.81,96,100,4.83
211,Plaster Rock,CA,2021-07-30 21:06:35,46.9065,-67.39,66.72,95,100,5.53
212,Neustadt,DE,2021-07-30 21:06:36,49.7117,12.0872,65.86,100,75,4.61
213,Codrington,AU,2021-07-30 21:04:23,-38.2667,141.9667,50.92,73,38,14.85
214,Ugoofaaru,MV,2021-07-30 21:06:36,5.6667,73.0,82.2,74,93,9.28
215,Muisne,EC,2021-07-30 21:06:37,0.6,-80.0333,77.7,78,94,9.04
216,Noto,IT,2021-07-30 21:06:37,36.8901,15.0693,88.02,46,0,12.17
217,Eidfjord,NO,2021-07-30 21:06:38,60.4675,7.0719,67.59,98,11,4.76
218,Contamana,PE,2021-07-30 21:06:38,-7.3333,-75.0167,81.59,38,7,3.0
219,Vao,NC,2021-07-30 21:06:39,-22.6667,167.4833,67.53,57,1,24.07
220,Omboue,GA,2021-07-30 20:59:17,-1.5746,9.2618,74.41,78,10,9.62
221,Yankton,US,2021-07-30 21:03:25,42.8711,-97.3973,71.85,73,90,11.5
222,Sterling,US,2021-07-30 21:03:13,39.0062,-77.4286,90.99,38,75,3.0
223,Asfi,MA,2021-07-30 21:00:21,32.2994,-9.2372,69.89,79,2,17.85
224,La Roda,ES,2021-07-30 21:06:40,39.2167,-2.15,82.13,12,0,10.31
225,Broken Hill,AU,2021-07-30 20:59:12,-31.95,141.4333,56.91,54,0,6.91
226,Constitucion,CL,2021-07-30 20:59:45,-35.3333,-72.4167,55.71,79,46,14.45
227,Port Blair,IN,2021-07-30 20:58:21,11.6667,92.75,81.84,83,88,16.71
228,Inhambane,MZ,2021-07-30 21:04:11,-23.865,35.3833,65.73,73,0,9.33
229,Takoradi,GH,2021-07-30 20:57:04,4.8845,-1.7554,76.37,87,93,7.36
230,Chunskiy,RU,2021-07-30 21:06:41,56.0815,99.6342,52.66,94,52,1.19
231,Urusha,RU,2021-07-30 20:56:44,54.05,122.9,52.97,88,96,3.62
232,Saint George,US,2021-07-30 20:57:15,37.1041,-113.5841,96.64,35,75,1.99
233,Belmonte,BR,2021-07-30 20:52:13,-15.8631,-38.8828,69.8,82,100,16.44
234,Buraydah,SA,2021-07-30 21:06:42,26.326,43.975,89.73,12,48,8.97
235,Cidreira,BR,2021-07-30 20:57:14,-30.1811,-50.2056,50.52,71,1,5.86
236,Paamiut,GL,2021-07-30 20:58:52,61.994,-49.6678,46.98,79,100,13.42
237,Poum,NC,2021-07-30 21:03:20,-20.2333,164.0167,70.05,58,0,23.33
